,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.5532212885154062,0.5532212885154062,0.5698924731182795,0.5698924731182795
1,1,0.7138095238095238,0.7138095238095238,0.6195652173913043,0.6195652173913043
2,2,0.4195238095238095,0.4195238095238095,0.5434782608695652,0.5434782608695652
3,3,0.6781444285031085,0.6781444285031085,0.6956521739130435,0.6956521739130435
4,4,0.6169296987087518,0.6169296987087518,0.5869565217391304,0.5869565217391304
